日期	销售额
2021-04-26	78
2021-04-27	78 
2021-04-28	87 
2021-04-29	56 
2021-04-30	67 
2021-05-01	98 
2021-05-01	60 
2021-05-02	49 
2021-05-03	91 
2021-05-04	84 
2021-05-05	90 
2021-05-06	79 
2021-05-07	76 
2021-05-08	82 
2021-05-09	86 
2021-05-10	70 
2021-05-11	90 
2021-05-12	88 
2021-05-13	99 
2021-05-14	98 
2021-05-15	97 
2021-05-16	90 
2021-05-17	96 
2021-05-18	67 
2021-05-19	66 
2021-05-20	91 
2021-05-21	92 
2021-05-22	76 
2021-05-23	89 
2021-05-24	93 
2021-05-25	95 
